time,high,Currency,Coin,low,open,volumefrom,volumeto,close,conversionType,timestamp_date,timestamp_Year
1606694400,616.29,USD,ETH,571.15,576.0,896172.25,535467109.2,616.14,direct,2020-11-30,2020
1606780800,636.06,USD,ETH,566.47,616.14,1268939.21,762366851.43,586.23,direct,2020-12-01,2020
1606867200,604.64,USD,ETH,576.61,586.23,532202.31,314984220.64,598.26,direct,2020-12-02,2020
1606953600,623.7,USD,ETH,586.55,598.26,520711.18,316868104.63,616.55,direct,2020-12-03,2020
1607040000,620.5,USD,ETH,566.14,616.55,622236.62,369234314.74,567.67,direct,2020-12-04,2020
1607126400,599.99,USD,ETH,580.64,567.79,750251.2,447845298.9,596.93,multiply,2020-12-05,2020
1607212800,610.44,USD,ETH,599.0,596.93,659997.39,397514748.44,602.3,multiply,2020-12-06,2020
1607299200,602.49,USD,ETH,587.53,602.3,645874.83,381946393.32,591.36,multiply,2020-12-07,2020
1607385600,595.17,USD,ETH,549.12,591.53,537079.56,307106189.41,554.82,direct,2020-12-08,2020
1607472000,577.8,USD,ETH,530.82,554.82,749281.63,418399444.97,573.44,direct,2020-12-09,2020
1607558400,575.27,USD,ETH,548.52,573.44,354098.49,198710326.68,558.36,direct,2020-12-10,2020
1607644800,560.35,USD,ETH,535.92,558.36,569602.04,310867291.92,544.14,direct,2020-12-11,2020
1607731200,574.11,USD,ETH,543.48,544.14,297399.48,166540219.65,568.26,direct,2020-12-12,2020
1607817600,595.05,USD,ETH,563.87,568.26,346124.44,201829035.68,590.72,direct,2020-12-13,2020
1607904000,591.45,USD,ETH,575.93,590.72,277062.65,162125862.95,586.35,direct,2020-12-14,2020
1607990400,596.93,USD,ETH,579.25,586.35,293205.54,172371762.61,589.17,direct,2020-12-15,2020
1608076800,638.73,USD,ETH,581.3,589.17,808780.64,497086861.72,637.74,direct,2020-12-16,2020
1608163200,675.88,USD,ETH,627.08,637.74,1349219.92,878651645.58,643.16,direct,2020-12-17,2020
1608249600,664.2,USD,ETH,629.63,643.16,528429.46,341755740.38,654.55,direct,2020-12-18,2020
1608336000,669.79,USD,ETH,646.4,654.55,514459.89,338530489.08,658.7,direct,2020-12-19,2020
1608422400,661.05,USD,ETH,621.84,658.7,477979.98,308930175.05,638.17,direct,2020-12-20,2020
1608508800,647.83,USD,ETH,596.6,638.17,785220.42,486584732.86,607.9,direct,2020-12-21,2020
1608595200,637.85,USD,ETH,587.94,607.9,564395.67,347239331.3,637.23,direct,2020-12-22,2020
1608681600,638.29,USD,ETH,552.44,637.23,839668.75,506935177.53,585.25,direct,2020-12-23,2020
1608768000,614.84,USD,ETH,565.82,585.25,503685.19,295864857.77,612.32,direct,2020-12-24,2020
1608854400,633.8,USD,ETH,604.38,612.32,473363.94,292795859.77,626.83,direct,2020-12-25,2020
1608940800,651.93,USD,ETH,615.66,626.83,551377.41,350294888.79,636.07,direct,2020-12-26,2020
1609027200,714.04,USD,ETH,625.57,636.07,1251438.81,842878848.15,683.98,direct,2020-12-27,2020
1609113600,746.88,USD,ETH,681.29,683.98,1077695.67,781168475.41,729.59,direct,2020-12-28,2020
1609200000,739.39,USD,ETH,688.87,729.59,708399.11,507583628.28,731.55,direct,2020-12-29,2020
1609286400,758.27,USD,ETH,717.54,731.55,670985.03,495447971.32,752.53,direct,2020-12-30,2020
1609372800,755.68,USD,ETH,722.92,752.53,548855.97,405487796.36,737.15,direct,2020-12-31,2020
1609459200,749.71,USD,ETH,717.14,737.15,436164.48,320856381.75,730.6,direct,2021-01-01,2021
1609545600,788.27,USD,ETH,716.71,730.6,904953.39,688632713.33,774.9,direct,2021-01-02,2021
1609632000,1011.81,USD,ETH,770.07,774.9,2200163.67,1987810339.53,978.69,direct,2021-01-03,2021
1609718400,1163.36,USD,ETH,889.78,978.69,2903509.97,2941908637.58,1043.16,direct,2021-01-04,2021
1609804800,1133.9,USD,ETH,975.69,1043.16,2076858.97,2209100382.41,1103.19,direct,2021-01-05,2021
1609891200,1214.12,USD,ETH,1059.19,1103.19,2484714.82,2817165249.56,1210.59,direct,2021-01-06,2021
1609977600,1290.46,USD,ETH,1151.6,1210.59,1601329.3,1957429185.72,1225.5,direct,2021-01-07,2021
1610064000,1273.69,USD,ETH,1067.33,1225.5,1767634.41,2103290577.04,1216.98,direct,2021-01-08,2021
1610150400,1307.77,USD,ETH,1173.77,1216.98,997317.78,1234090079.14,1279.96,direct,2021-01-09,2021
1610236800,1350.09,USD,ETH,1163.66,1279.96,1503199.13,1931453689.24,1255.72,direct,2021-01-10,2021
1610323200,1259.54,USD,ETH,912.42,1255.72,3649323.14,3831991768.04,1088.37,direct,2021-01-11,2021
1610409600,1149.87,USD,ETH,1007.68,1088.37,1521509.38,1647583878.23,1050.04,direct,2021-01-12,2021
1610496000,1136.66,USD,ETH,985.32,1050.04,1182504.51,1262994625.32,1129.84,direct,2021-01-13,2021
1610582400,1246.36,USD,ETH,1087.39,1129.84,1151856.9,1349158455.8,1232.11,direct,2021-01-14,2021
1610668800,1255.19,USD,ETH,1069.37,1232.11,1395002.47,1643038085.27,1169.06,direct,2021-01-15,2021
1610755200,1293.2,USD,ETH,1152.92,1169.06,1020332.59,1250938805.76,1228.52,direct,2021-01-16,2021
1610841600,1269.49,USD,ETH,1166.6,1228.52,783042.23,957632921.26,1233.73,direct,2021-01-17,2021
1610928000,1260.68,USD,ETH,1183.78,1233.73,663535.05,813409622.3,1258.31,direct,2021-01-18,2021
1611014400,1439.37,USD,ETH,1252.78,1258.31,1607009.53,2197247666.73,1367.65,direct,2021-01-19,2021
1611100800,1408.06,USD,ETH,1234.88,1367.65,1362169.39,1802865032.38,1377.75,direct,2021-01-20,2021
1611187200,1389.04,USD,ETH,1086.55,1377.75,1941246.58,2374156404.45,1111.49,direct,2021-01-21,2021
1611273600,1275.45,USD,ETH,1044.92,1111.49,1781416.3,2068128154.63,1234.56,direct,2021-01-22,2021
1611360000,1272.57,USD,ETH,1197.55,1234.56,617746.69,766118780.58,1234.1,direct,2021-01-23,2021
1611446400,1400.2,USD,ETH,1221.78,1234.1,1164242.17,1540273353.15,1392.45,direct,2021-01-24,2021
1611532800,1475.49,USD,ETH,1296.02,1392.45,1477949.16,2072432387.85,1318.47,direct,2021-01-25,2021
1611619200,1378.06,USD,ETH,1246.49,1318.47,1325006.34,1749379399.61,1368.22,direct,2021-01-26,2021
