time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1487376000,1063.21,1044.68,1049.41,25362.02,26856521.18,1052.28,direct,2017-02-18,2017
1487462400,1056.48,1037.67,1052.28,17953.15,18876881.86,1048.89,direct,2017-02-19,2017
1487548800,1081.78,1040.99,1048.89,31010.85,32959720.15,1077.56,direct,2017-02-20,2017
1487635200,1123.03,1073.54,1077.56,57048.87,62908569.43,1119.03,direct,2017-02-21,2017
1487721600,1132.25,1094.83,1119.03,47913.31,53647453.34,1120.46,direct,2017-02-22,2017
1487808000,1181.6,1113.54,1120.46,65737.1,75663167.44,1171.91,direct,2017-02-23,2017
1487894400,1211.74,1092.41,1171.91,108170.88,126978010.75,1176.49,direct,2017-02-24,2017
1487980800,1180.01,1116.21,1176.49,45860.52,53003830.46,1149.05,direct,2017-02-25,2017
1488067200,1177.47,1130.61,1149.05,30764.77,35750258.05,1171.58,direct,2017-02-26,2017
1488153600,1195.82,1164.27,1171.58,35468.84,42035366.64,1188.83,direct,2017-02-27,2017
1488240000,1208.22,1175.75,1188.83,50579.83,60371869.57,1189.27,direct,2017-02-28,2017
1488326400,1225.04,1154.55,1189.27,51153.83,61964760.57,1222.66,direct,2017-03-01,2017
1488412800,1286.98,1211.96,1222.66,78492.01,98040639.32,1255.47,direct,2017-03-02,2017
1488499200,1291.35,1250.8,1255.47,67275.49,85876262.86,1283.3,direct,2017-03-03,2017
1488585600,1285.78,1228.73,1283.3,38418.2,48597934.9,1264.32,direct,2017-03-04,2017
1488672000,1273.28,1242.1,1264.32,25430.23,32104972.38,1271.22,direct,2017-03-05,2017
1488758400,1280.61,1261.0,1271.22,31026.9,39591110.81,1277.01,direct,2017-03-06,2017
1488844800,1280.89,1148.66,1277.01,87722.01,108673876.49,1232.69,direct,2017-03-07,2017
1488931200,1242.04,1136.88,1232.69,97875.25,116342973.91,1146.97,direct,2017-03-08,2017
1489017600,1206.97,1129.35,1146.97,59860.55,70427061.57,1191.33,direct,2017-03-09,2017
1489104000,1330.42,988.69,1191.33,190472.52,223836041.81,1112.39,direct,2017-03-10,2017
1489190400,1202.69,1104.78,1112.39,70747.22,82387198.06,1179.22,direct,2017-03-11,2017
1489276800,1235.46,1160.9,1179.22,44412.09,53441762.07,1225.11,direct,2017-03-12,2017
